producto,vista,estado,tema,resolucion,receta,captura,inspeccion_manual,resultado,deuda_pendiente
hub,detalle,Detalle paciente (overview),dark,960x600,navigate:detalle > drain:8 > capture:detalle,hub-detalle-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
hub,detalle-plan-activacion,Detalle > Plan > Activación,dark,960x600,navigate:detalle > call:_plan_set_subtab > drain:6 > capture:detalle-plan-activacion,hub-detalle-plan-activacion-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
hub,detalle-plan-rutina,Detalle > Plan > Rutina,dark,960x600,navigate:detalle > call:_plan_set_subtab > drain:6 > capture:detalle-plan-rutina,hub-detalle-plan-rutina-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
hub,detalle-plan-timer,Detalle > Plan > Temporizador,dark,960x600,navigate:detalle > call:_plan_set_subtab > drain:6 > capture:detalle-plan-timer,hub-detalle-plan-timer-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
hub,detalle-resumen-ia-0,detalle-resumen-ia-0,dark,960x600,,hub-detalle-resumen-ia-0-dark-480x325.png,pendiente,pendiente,"notes=Natural dialog capture accepted as technical evidence; inspect for complete content, clipping, overlap, and accessible controls."
hub,pacientes,Pacientes default,dark,960x600,navigate:pacientes > drain:8 > capture:pacientes,hub-pacientes-dark-960x600.png,pendiente,parcial,flags=REQUIRES_DATA_STATE ; notes=Patient rows are QA/demo data; real patients state is not covered.
hub,pacientes-empty,Pacientes empty state,dark,960x600,navigate:pacientes > call:_clear_hub_patients > navigate:pacientes > drain:8 > capture:pacientes-empty,hub-pacientes-empty-dark-960x600.png,pendiente,parcial,"flags=REQUIRES_DATA_STATE ; notes=Empty patients view depends on real data absence, not only QA in-memory clearing."
hub,textos-globales,Textos globales de Suite (personalizacion),dark,960x600,call:_hub_open_textos_globales > drain:8 > capture:textos-globales,hub-textos-globales-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,actividades,Actividades default,dark,960x600,navigate:actividades > drain:8 > capture:actividades,suite-actividades-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,actividades-empty,Actividades empty state deterministico,dark,960x600,navigate:actividades > call:_actividades_force_empty > drain:6 > capture:actividades-empty,suite-actividades-empty-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,actividades-filtered,Actividades + filtro con resultados,dark,960x600,navigate:actividades > call:_actividades_filter_category > drain:6 > capture:actividades-filtered,suite-actividades-filtered-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,actividades-marked-hice,Actividades + marcada Hecho,dark,960x600,navigate:actividades > click > drain:8 > capture:actividades-marked-hice,suite-actividades-marked-hice-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,animo,Animo default,dark,960x600,navigate:animo > drain:8 > capture:animo,suite-animo-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,avisos,Avisos default,dark,960x600,navigate:avisos > drain:8 > capture:avisos,suite-avisos-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,avisos-empty,Avisos empty state deterministico,dark,960x600,navigate:avisos > call:_avisos_force_empty > drain:6 > capture:avisos-empty,suite-avisos-empty-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,avisos-filter-activos,Avisos filtro Activos,dark,960x600,navigate:avisos > call:_avisos_filter_activos > drain:6 > capture:avisos-filter-activos,suite-avisos-filter-activos-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,avisos-search,Avisos con busqueda,dark,960x600,navigate:avisos > call:_avisos_search > drain:6 > capture:avisos-search,suite-avisos-search-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,avisos-today,Avisos filtro Hoy,dark,960x600,navigate:avisos > call:_avisos_filter_hoy > drain:6 > capture:avisos-today,suite-avisos-today-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,dbt-library,DBT Biblioteca - catálogo de cuatro familias,dark,960x600,navigate:dbt > call:_dbt_select_tab_library > drain:6 > capture:dbt-library,suite-dbt-library-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,dbt-now,DBT Ahora - entrada por necesidad,dark,960x600,navigate:dbt > drain:8 > capture:dbt-now,suite-dbt-now-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
suite,dbt-practice-stop,DBT Práctica - paso intermedio de STOP,dark,960x600,navigate:dbt > call:_dbt_select_tab_library > call:_dbt_start_stop_practice > call:_dbt_go_to_step_2 > drain:6 > capture:dbt-practice-stop,suite-dbt-practice-stop-dark-960x600.png,pendiente,pendiente,requiere inspeccion manual
