key,status,severity,repair_bucket,real_divergence,suspicious_perfect_match,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
suite:dbt-library@dark,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.14584,0.04448,0.2498,4.36,16,0.002882,qa\_mockup_canonical\suite-dbt-library-dark-960x600.png,qa\_captures_v8\suite-dbt-library-dark-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-library_dark.png
suite:dbt-library@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.13545,0.04332,0.2727,4.14,14,0.005872,qa\_mockup_canonical\suite-dbt-library-light-960x600.png,qa\_captures_v8\suite-dbt-library-light-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-library_light.png
suite:dbt-practice-check-facts@dark,PASS,none,NONE,False,False,,0.07489,0.01954,0.62093,1.05,16,0.002818,qa\_mockup_canonical\suite-dbt-practice-check-facts-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-check-facts-dark-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-practice-check-facts_dark.png
suite:dbt-practice-check-facts@light,PASS,none,NONE,False,False,,0.06581,0.017,0.96276,0.86,1,0.006358,qa\_mockup_canonical\suite-dbt-practice-check-facts-light-960x600.png,qa\_captures_v8\suite-dbt-practice-check-facts-light-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-practice-check-facts_light.png
suite:dbt-practice-dear-man@dark,PASS,none,NONE,False,False,,0.07647,0.02009,0.61367,1.11,16,0.002818,qa\_mockup_canonical\suite-dbt-practice-dear-man-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-dear-man-dark-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-practice-dear-man_dark.png
suite:dbt-practice-dear-man@light,PASS,none,NONE,False,False,,0.07272,0.02209,0.93529,1.57,1,0.016217,qa\_mockup_canonical\suite-dbt-practice-dear-man-light-960x600.png,qa\_captures_v8\suite-dbt-practice-dear-man-light-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-practice-dear-man_light.png
suite:dbt-practice-fast@dark,PASS,none,NONE,False,False,,0.0739,0.01899,0.62704,0.97,16,0.002818,qa\_mockup_canonical\suite-dbt-practice-fast-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-fast-dark-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-practice-fast_dark.png
suite:dbt-practice-fast@light,PASS,none,NONE,False,False,,0.07093,0.02088,0.94256,1.47,1,0.016208,qa\_mockup_canonical\suite-dbt-practice-fast-light-960x600.png,qa\_captures_v8\suite-dbt-practice-fast-light-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-practice-fast_light.png
suite:dbt-practice-stop@dark,PASS,none,NONE,False,False,,0.07463,0.01931,0.63375,0.92,16,0.002858,qa\_mockup_canonical\suite-dbt-practice-stop-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-stop-dark-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-practice-stop_dark.png
suite:dbt-practice-stop@light,PASS,none,NONE,False,False,,0.07157,0.02097,0.94245,1.5,1,0.016208,qa\_mockup_canonical\suite-dbt-practice-stop-light-960x600.png,qa\_captures_v8\suite-dbt-practice-stop-light-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-practice-stop_light.png
suite:dbt-practice-wise-mind@dark,PASS,none,NONE,False,False,,0.07535,0.01992,0.62192,0.97,16,0.002858,qa\_mockup_canonical\suite-dbt-practice-wise-mind-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-wise-mind-dark-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-practice-wise-mind_dark.png
suite:dbt-practice-wise-mind@light,PASS,none,NONE,False,False,,0.06633,0.01733,0.9603,0.88,1,0.006373,qa\_mockup_canonical\suite-dbt-practice-wise-mind-light-960x600.png,qa\_captures_v8\suite-dbt-practice-wise-mind-light-960x600.png,reports\qa\dbt_representative_compare_after_grid\panels\suite_dbt-practice-wise-mind_light.png
