key,verdict,codes,canonical_file,actual_file,back_screen_key,canonical_surface,actual_surface,canonical_resolution,actual_resolution,centered,bbox_size,backdrop_region,blur_dim_equivalence,back_screen_dependency,metrics
hub:detalle-resumen-ia-0@dark,FAIL,BACKDROP_CAPTURE_MISSING,hub-detalle-resumen-ia-0-dark-960x600.png,hub-detalle-resumen-ia-0-dark-960x600.png,hub:detalle@dark,window_modal,,960x600,960x600,not_observable_modal_crop,PASS,not_observable_modal_crop,not_observable_modal_crop,PASS,"{""actual_image_size"": ""960x600"", ""back_screen_mean_abs_delta"": 8.0094, ""canonical_image_size"": ""960x600""}"
hub:detalle-resumen-ia-0@light,FAIL,BACKDROP_CAPTURE_MISSING,hub-detalle-resumen-ia-0-light-960x600.png,hub-detalle-resumen-ia-0-light-960x600.png,hub:detalle@light,window_modal,,960x600,960x600,not_observable_modal_crop,PASS,not_observable_modal_crop,not_observable_modal_crop,PASS,"{""actual_image_size"": ""960x600"", ""back_screen_mean_abs_delta"": 7.9933, ""canonical_image_size"": ""960x600""}"
suite:dbt-practice-check-facts@dark,FAIL,BACKDROP_CAPTURE_MISSING,suite-dbt-practice-check-facts-dark-960x600.png,suite-dbt-practice-check-facts-dark-960x600.png,suite:dbt-library@dark,window_modal,,960x600,960x600,not_observable_modal_crop,PASS,not_observable_modal_crop,not_observable_modal_crop,PASS,"{""actual_image_size"": ""960x600"", ""back_screen_mean_abs_delta"": 11.9557, ""canonical_image_size"": ""960x600""}"
suite:dbt-practice-check-facts@light,FAIL,BACKDROP_CAPTURE_MISSING,suite-dbt-practice-check-facts-light-960x600.png,suite-dbt-practice-check-facts-light-960x600.png,suite:dbt-library@light,window_modal,,960x600,960x600,not_observable_modal_crop,PASS,not_observable_modal_crop,not_observable_modal_crop,PASS,"{""actual_image_size"": ""960x600"", ""back_screen_mean_abs_delta"": 11.6437, ""canonical_image_size"": ""960x600""}"
suite:dbt-practice-dear-man@dark,FAIL,BACKDROP_CAPTURE_MISSING,suite-dbt-practice-dear-man-dark-960x600.png,suite-dbt-practice-dear-man-dark-960x600.png,suite:dbt-library@dark,window_modal,,960x600,960x600,not_observable_modal_crop,PASS,not_observable_modal_crop,not_observable_modal_crop,PASS,"{""actual_image_size"": ""960x600"", ""back_screen_mean_abs_delta"": 11.9557, ""canonical_image_size"": ""960x600""}"
suite:dbt-practice-dear-man@light,FAIL,BACKDROP_CAPTURE_MISSING,suite-dbt-practice-dear-man-light-960x600.png,suite-dbt-practice-dear-man-light-960x600.png,suite:dbt-library@light,window_modal,,960x600,960x600,not_observable_modal_crop,PASS,not_observable_modal_crop,not_observable_modal_crop,PASS,"{""actual_image_size"": ""960x600"", ""back_screen_mean_abs_delta"": 11.6437, ""canonical_image_size"": ""960x600""}"
suite:dbt-practice-fast@dark,PASS,,suite-dbt-practice-fast-dark-960x600.png,suite-dbt-practice-fast-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.222456, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [187, 139, 588, 412], ""back_screen_mean_abs_delta"": 11.9557, ""backdrop_mean_abs_delta"": 3.8472, ""bbox_size_delta_px"": [26, 13], ""blur_ratio_delta"": 0.06888, ""canonical_blur_ratio"": 0.153575, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 154, 614, 399], ""center_delta_px"": [7.0, 8.5]}"
suite:dbt-practice-fast@light,FAIL,BACKDROP_CAPTURE_MISSING,suite-dbt-practice-fast-light-960x600.png,suite-dbt-practice-fast-light-960x600.png,suite:dbt-library@light,window_modal,,960x600,960x600,not_observable_modal_crop,PASS,not_observable_modal_crop,not_observable_modal_crop,PASS,"{""actual_image_size"": ""960x600"", ""back_screen_mean_abs_delta"": 11.6437, ""canonical_image_size"": ""960x600""}"
suite:dbt-practice-give@dark,FAIL,BACKDROP_CAPTURE_MISSING,suite-dbt-practice-give-dark-960x600.png,suite-dbt-practice-give-dark-960x600.png,suite:dbt-library@dark,window_modal,,960x600,960x600,not_observable_modal_crop,PASS,not_observable_modal_crop,not_observable_modal_crop,PASS,"{""actual_image_size"": ""960x600"", ""back_screen_mean_abs_delta"": 11.9557, ""canonical_image_size"": ""960x600""}"
suite:dbt-practice-give@light,FAIL,BACKDROP_CAPTURE_MISSING,suite-dbt-practice-give-light-960x600.png,suite-dbt-practice-give-light-960x600.png,suite:dbt-library@light,window_modal,,960x600,960x600,not_observable_modal_crop,PASS,not_observable_modal_crop,not_observable_modal_crop,PASS,"{""actual_image_size"": ""960x600"", ""back_screen_mean_abs_delta"": 11.6437, ""canonical_image_size"": ""960x600""}"
