key,status,severity,repair_bucket,real_divergence,suspicious_perfect_match,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
suite:dbt-library@dark,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.1514,0.04689,0.139,4.38,16,0.001665,qa\_mockup_canonical\suite-dbt-library-dark-960x600.png,qa\_captures_v8\suite-dbt-library-dark-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-library_dark.png
suite:dbt-library@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.14311,0.04566,0.18321,4.04,14,0.005872,qa\_mockup_canonical\suite-dbt-library-light-960x600.png,qa\_captures_v8\suite-dbt-library-light-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-library_light.png
suite:dbt-practice-check-facts@dark,PASS,none,NONE,False,False,,0.09483,0.02146,0.60298,1.05,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-check-facts-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-check-facts-dark-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-practice-check-facts_dark.png
suite:dbt-practice-check-facts@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.10663,0.02017,0.96007,0.86,1,0.009774,qa\_mockup_canonical\suite-dbt-practice-check-facts-light-960x600.png,qa\_captures_v8\suite-dbt-practice-check-facts-light-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-practice-check-facts_light.png
suite:dbt-practice-dear-man@dark,PASS,none,NONE,False,False,,0.09641,0.022,0.59628,1.11,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-dear-man-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-dear-man-dark-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-practice-dear-man_dark.png
suite:dbt-practice-dear-man@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11311,0.02522,0.93199,1.57,1,0.026351,qa\_mockup_canonical\suite-dbt-practice-dear-man-light-960x600.png,qa\_captures_v8\suite-dbt-practice-dear-man-light-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-practice-dear-man_light.png
suite:dbt-practice-fast@dark,PASS,none,NONE,False,False,,0.09383,0.0209,0.60768,0.97,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-fast-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-fast-dark-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-practice-fast_dark.png
suite:dbt-practice-fast@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11105,0.02401,0.93927,1.48,1,0.026186,qa\_mockup_canonical\suite-dbt-practice-fast-light-960x600.png,qa\_captures_v8\suite-dbt-practice-fast-light-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-practice-fast_light.png
suite:dbt-practice-stop@dark,PASS,none,NONE,False,False,,0.09422,0.02116,0.6152,0.92,16,0.003033,qa\_mockup_canonical\suite-dbt-practice-stop-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-stop-dark-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-practice-stop_dark.png
suite:dbt-practice-stop@light,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout",0.11188,0.02411,0.93915,1.5,1,0.026186,qa\_mockup_canonical\suite-dbt-practice-stop-light-960x600.png,qa\_captures_v8\suite-dbt-practice-stop-light-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-practice-stop_light.png
suite:dbt-practice-wise-mind@dark,PASS,none,NONE,False,False,,0.09494,0.02177,0.60488,0.97,16,0.003033,qa\_mockup_canonical\suite-dbt-practice-wise-mind-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-wise-mind-dark-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-practice-wise-mind_dark.png
suite:dbt-practice-wise-mind@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.10717,0.0205,0.95761,0.88,1,0.009785,qa\_mockup_canonical\suite-dbt-practice-wise-mind-light-960x600.png,qa\_captures_v8\suite-dbt-practice-wise-mind-light-960x600.png,reports\qa\dbt_representative_compare\panels\suite_dbt-practice-wise-mind_light.png
