key,status,severity,repair_bucket,real_divergence,suspicious_perfect_match,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
suite:dbt-library@dark,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.14219,0.04286,0.2943,4.03,16,0.001722,qa\_mockup_canonical\suite-dbt-library-dark-960x600.png,qa\_captures_v8\suite-dbt-library-dark-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-library_dark.png
suite:dbt-library@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.13243,0.04211,0.30976,3.84,14,0.005872,qa\_mockup_canonical\suite-dbt-library-light-960x600.png,qa\_captures_v8\suite-dbt-library-light-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-library_light.png
suite:dbt-practice-check-facts@dark,PASS,none,NONE,False,False,,0.0704,0.01892,0.62524,1.05,16,0.002821,qa\_mockup_canonical\suite-dbt-practice-check-facts-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-check-facts-dark-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-practice-check-facts_dark.png
suite:dbt-practice-check-facts@light,PASS,none,NONE,False,False,,0.06169,0.01682,0.96297,0.86,1,0.006549,qa\_mockup_canonical\suite-dbt-practice-check-facts-light-960x600.png,qa\_captures_v8\suite-dbt-practice-check-facts-light-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-practice-check-facts_light.png
suite:dbt-practice-dear-man@dark,PASS,none,NONE,False,False,,0.07198,0.01947,0.61787,1.11,16,0.002821,qa\_mockup_canonical\suite-dbt-practice-dear-man-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-dear-man-dark-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-practice-dear-man_dark.png
suite:dbt-practice-dear-man@light,PASS,none,NONE,False,False,,0.06862,0.02191,0.93545,1.55,1,0.015502,qa\_mockup_canonical\suite-dbt-practice-dear-man-light-960x600.png,qa\_captures_v8\suite-dbt-practice-dear-man-light-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-practice-dear-man_light.png
suite:dbt-practice-fast@dark,PASS,none,NONE,False,False,,0.06941,0.01837,0.63165,0.97,16,0.002821,qa\_mockup_canonical\suite-dbt-practice-fast-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-fast-dark-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-practice-fast_dark.png
suite:dbt-practice-fast@light,PASS,none,NONE,False,False,,0.0665,0.02071,0.94272,1.46,1,0.015486,qa\_mockup_canonical\suite-dbt-practice-fast-light-960x600.png,qa\_captures_v8\suite-dbt-practice-fast-light-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-practice-fast_light.png
suite:dbt-practice-stop@dark,PASS,none,NONE,False,False,,0.06984,0.01867,0.63838,0.92,16,0.002851,qa\_mockup_canonical\suite-dbt-practice-stop-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-stop-dark-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-practice-stop_dark.png
suite:dbt-practice-stop@light,PASS,none,NONE,False,False,,0.06718,0.02081,0.94261,1.49,1,0.015486,qa\_mockup_canonical\suite-dbt-practice-stop-light-960x600.png,qa\_captures_v8\suite-dbt-practice-stop-light-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-practice-stop_light.png
suite:dbt-practice-wise-mind@dark,PASS,none,NONE,False,False,,0.07056,0.01928,0.62619,0.97,16,0.002851,qa\_mockup_canonical\suite-dbt-practice-wise-mind-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-wise-mind-dark-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-practice-wise-mind_dark.png
suite:dbt-practice-wise-mind@light,PASS,none,NONE,False,False,,0.06221,0.01715,0.96052,0.88,1,0.006569,qa\_mockup_canonical\suite-dbt-practice-wise-mind-light-960x600.png,qa\_captures_v8\suite-dbt-practice-wise-mind-light-960x600.png,reports\qa\dbt_representative_compare_after_shadow\panels\suite_dbt-practice-wise-mind_light.png
