key,verdict,codes,canonical_file,actual_file,back_screen_key,canonical_surface,actual_surface,canonical_resolution,actual_resolution,centered,bbox_size,backdrop_region,blur_dim_equivalence,back_screen_dependency,metrics
hub:detalle-resumen-ia-0@dark,FAIL,MODAL_CENTER_FAIL,hub-detalle-resumen-ia-0-dark-960x600.png,hub-detalle-resumen-ia-0-dark-960x600.png,hub:detalle@dark,window_modal,window_modal,960x600,960x600,FAIL,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.566976, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [96, 68, 742, 242], ""back_screen_mean_abs_delta"": 8.0094, ""backdrop_mean_abs_delta"": 4.8983, ""bbox_size_delta_px"": [12, 14], ""blur_ratio_delta"": 0.026675, ""canonical_blur_ratio"": 0.540301, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [101, 252, 730, 228], ""center_delta_px"": [1.0, 177.0]}"
hub:detalle-resumen-ia-0@light,PASS,,hub-detalle-resumen-ia-0-light-960x600.png,hub-detalle-resumen-ia-0-light-960x600.png,hub:detalle@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.263017, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [99, 49, 761, 502], ""back_screen_mean_abs_delta"": 7.9933, ""backdrop_mean_abs_delta"": 2.7711, ""bbox_size_delta_px"": [1, 0], ""blur_ratio_delta"": 0.088691, ""canonical_blur_ratio"": 0.174326, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [100, 49, 760, 502], ""center_delta_px"": [0.5, 0.0]}"
suite:dbt-practice-check-facts@dark,PASS,,suite-dbt-practice-check-facts-dark-960x600.png,suite-dbt-practice-check-facts-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.200589, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [194, 139, 588, 417], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0349, ""bbox_size_delta_px"": [26, 18], ""blur_ratio_delta"": 0.045329, ""canonical_blur_ratio"": 0.155261, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 154, 614, 399], ""center_delta_px"": [0.0, 6.0]}"
suite:dbt-practice-check-facts@light,PASS,,suite-dbt-practice-check-facts-light-960x600.png,suite-dbt-practice-check-facts-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.146874, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 400], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6675, ""bbox_size_delta_px"": [0, 0], ""blur_ratio_delta"": 0.016852, ""canonical_blur_ratio"": 0.163726, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [183, 125, 594, 400], ""center_delta_px"": [0.0, 0.0]}"
suite:dbt-practice-dear-man@dark,PASS,,suite-dbt-practice-dear-man-dark-960x600.png,suite-dbt-practice-dear-man-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.200589, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [194, 139, 588, 417], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0349, ""bbox_size_delta_px"": [26, 18], ""blur_ratio_delta"": 0.045326, ""canonical_blur_ratio"": 0.155263, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 154, 614, 399], ""center_delta_px"": [0.0, 6.0]}"
suite:dbt-practice-dear-man@light,PASS,,suite-dbt-practice-dear-man-light-960x600.png,suite-dbt-practice-dear-man-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148535, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.647, ""bbox_size_delta_px"": [6, 0], ""blur_ratio_delta"": 0.018478, ""canonical_blur_ratio"": 0.167014, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 411], ""center_delta_px"": [0.0, 2.0]}"
suite:dbt-practice-fast@dark,PASS,,suite-dbt-practice-fast-dark-960x600.png,suite-dbt-practice-fast-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.200589, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [194, 139, 588, 417], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0348, ""bbox_size_delta_px"": [26, 18], ""blur_ratio_delta"": 0.045332, ""canonical_blur_ratio"": 0.155258, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 154, 614, 399], ""center_delta_px"": [0.0, 6.0]}"
suite:dbt-practice-fast@light,PASS,,suite-dbt-practice-fast-light-960x600.png,suite-dbt-practice-fast-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148531, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6341, ""bbox_size_delta_px"": [6, 1], ""blur_ratio_delta"": 0.018085, ""canonical_blur_ratio"": 0.166616, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 412], ""center_delta_px"": [0.0, 1.5]}"
suite:dbt-practice-give@dark,PASS,,suite-dbt-practice-give-dark-960x600.png,suite-dbt-practice-give-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.197389, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [194, 139, 588, 417], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0863, ""bbox_size_delta_px"": [12, 12], ""blur_ratio_delta"": 0.044699, ""canonical_blur_ratio"": 0.152691, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [191, 147, 600, 405], ""center_delta_px"": [3.0, 2.0]}"
suite:dbt-practice-give@light,PASS,,suite-dbt-practice-give-light-960x600.png,suite-dbt-practice-give-light-960x600.png,suite:dbt-library@light,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.148531, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [183, 125, 594, 411], ""back_screen_mean_abs_delta"": 10.7383, ""backdrop_mean_abs_delta"": 2.6342, ""bbox_size_delta_px"": [6, 1], ""blur_ratio_delta"": 0.018084, ""canonical_blur_ratio"": 0.166616, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [180, 123, 600, 412], ""center_delta_px"": [0.0, 1.5]}"
suite:dbt-practice-non-judgmental@dark,PASS,,suite-dbt-practice-non-judgmental-dark-960x600.png,suite-dbt-practice-non-judgmental-dark-960x600.png,suite:dbt-library@dark,window_modal,window_modal,960x600,960x600,PASS,PASS,PASS,PASS,PASS,"{""actual_blur_ratio"": 0.200589, ""actual_image_size"": ""960x600"", ""actual_modal_bbox"": [194, 139, 588, 417], ""back_screen_mean_abs_delta"": 10.9296, ""backdrop_mean_abs_delta"": 3.0348, ""bbox_size_delta_px"": [26, 18], ""blur_ratio_delta"": 0.045332, ""canonical_blur_ratio"": 0.155258, ""canonical_image_size"": ""960x600"", ""canonical_modal_bbox"": [181, 154, 614, 399], ""center_delta_px"": [0.0, 6.0]}"
