key,status,severity,repair_bucket,real_divergence,suspicious_perfect_match,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
suite:dbt-library@dark,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.1514,0.04689,0.139,4.38,16,0.001665,qa\_mockup_canonical\suite-dbt-library-dark-960x600.png,qa\_captures_v8\suite-dbt-library-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-library_dark.png
suite:dbt-library@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.14311,0.04566,0.18321,4.04,14,0.005872,qa\_mockup_canonical\suite-dbt-library-light-960x600.png,qa\_captures_v8\suite-dbt-library-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-library_light.png
suite:dbt-now@dark,PASS,none,NONE,False,False,,0.08224,0.02462,0.22588,2.05,16,0.004814,qa\_mockup_canonical\suite-dbt-now-dark-960x600.png,qa\_captures_v8\suite-dbt-now-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-now_dark.png
suite:dbt-now@light,PASS,none,NONE,False,False,,0.07797,0.02398,0.29233,1.87,14,0.005872,qa\_mockup_canonical\suite-dbt-now-light-960x600.png,qa\_captures_v8\suite-dbt-now-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-now_light.png
suite:dbt-practice-check-facts@dark,PASS,none,NONE,False,False,,0.09483,0.02146,0.60298,1.05,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-check-facts-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-check-facts-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-check-facts_dark.png
suite:dbt-practice-check-facts@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.10663,0.02017,0.96007,0.86,1,0.009774,qa\_mockup_canonical\suite-dbt-practice-check-facts-light-960x600.png,qa\_captures_v8\suite-dbt-practice-check-facts-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-check-facts_light.png
suite:dbt-practice-dear-man@dark,PASS,none,NONE,False,False,,0.09641,0.022,0.59628,1.11,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-dear-man-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-dear-man-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-dear-man_dark.png
suite:dbt-practice-dear-man@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11311,0.02522,0.93199,1.57,1,0.026351,qa\_mockup_canonical\suite-dbt-practice-dear-man-light-960x600.png,qa\_captures_v8\suite-dbt-practice-dear-man-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-dear-man_light.png
suite:dbt-practice-fast@dark,PASS,none,NONE,False,False,,0.09383,0.0209,0.60768,0.97,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-fast-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-fast-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-fast_dark.png
suite:dbt-practice-fast@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11105,0.02401,0.93927,1.48,1,0.026186,qa\_mockup_canonical\suite-dbt-practice-fast-light-960x600.png,qa\_captures_v8\suite-dbt-practice-fast-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-fast_light.png
suite:dbt-practice-give@dark,PASS,none,NONE,False,False,,0.09218,0.02075,0.61326,0.84,16,0.003033,qa\_mockup_canonical\suite-dbt-practice-give-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-give-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-give_dark.png
suite:dbt-practice-give@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.10963,0.02365,0.93964,1.42,1,0.026186,qa\_mockup_canonical\suite-dbt-practice-give-light-960x600.png,qa\_captures_v8\suite-dbt-practice-give-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-give_light.png
suite:dbt-practice-non-judgmental@dark,PASS,none,NONE,False,False,,0.09346,0.02055,0.62974,0.95,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-non-judgmental-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-non-judgmental-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-non-judgmental_dark.png
suite:dbt-practice-non-judgmental@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11069,0.02372,0.94102,1.46,1,0.026186,qa\_mockup_canonical\suite-dbt-practice-non-judgmental-light-960x600.png,qa\_captures_v8\suite-dbt-practice-non-judgmental-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-non-judgmental_light.png
suite:dbt-practice-observe-describe@dark,PASS,none,NONE,False,False,,0.09367,0.02077,0.62355,0.97,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-observe-describe-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-observe-describe-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-observe-describe_dark.png
suite:dbt-practice-observe-describe@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11076,0.02378,0.94042,1.51,1,0.026203,qa\_mockup_canonical\suite-dbt-practice-observe-describe-light-960x600.png,qa\_captures_v8\suite-dbt-practice-observe-describe-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-observe-describe_light.png
suite:dbt-practice-opposite-action@dark,PASS,none,NONE,False,False,,0.09717,0.02279,0.58736,1.08,16,0.003033,qa\_mockup_canonical\suite-dbt-practice-opposite-action-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-opposite-action-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-opposite-action_dark.png
suite:dbt-practice-opposite-action@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11394,0.0257,0.92892,1.63,1,0.026351,qa\_mockup_canonical\suite-dbt-practice-opposite-action-light-960x600.png,qa\_captures_v8\suite-dbt-practice-opposite-action-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-opposite-action_light.png
suite:dbt-practice-participate@dark,PASS,none,NONE,False,False,,0.09274,0.02068,0.63268,0.87,16,0.003033,qa\_mockup_canonical\suite-dbt-practice-participate-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-participate-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-participate_dark.png
suite:dbt-practice-participate@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.10982,0.02387,0.93925,1.43,1,0.026351,qa\_mockup_canonical\suite-dbt-practice-participate-light-960x600.png,qa\_captures_v8\suite-dbt-practice-participate-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-participate_light.png
suite:dbt-practice-please@dark,PASS,none,NONE,False,False,,0.0967,0.02263,0.56867,1.17,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-please-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-please-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-please_dark.png
suite:dbt-practice-please@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11299,0.02555,0.92857,1.6,1,0.026351,qa\_mockup_canonical\suite-dbt-practice-please-light-960x600.png,qa\_captures_v8\suite-dbt-practice-please-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-please_light.png
suite:dbt-practice-problem-solving@dark,PASS,none,NONE,False,False,,0.09697,0.02244,0.57081,1.16,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-problem-solving-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-problem-solving-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-problem-solving_dark.png
suite:dbt-practice-problem-solving@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.10882,0.02109,0.95525,0.96,1,0.009786,qa\_mockup_canonical\suite-dbt-practice-problem-solving-light-960x600.png,qa\_captures_v8\suite-dbt-practice-problem-solving-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-problem-solving_light.png
suite:dbt-practice-radical-acceptance@dark,PASS,none,NONE,False,False,,0.09498,0.02149,0.6046,1.05,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-radical-acceptance-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-radical-acceptance-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-radical-acceptance_dark.png
suite:dbt-practice-radical-acceptance@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,False,"raw_pixel_delta,qa_missed_raw_or_layout",0.11166,0.02467,0.93463,1.52,1,0.026351,qa\_mockup_canonical\suite-dbt-practice-radical-acceptance-light-960x600.png,qa\_captures_v8\suite-dbt-practice-radical-acceptance-light-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-radical-acceptance_light.png
suite:dbt-practice-self-soothe@dark,PASS,none,NONE,False,False,,0.09417,0.02082,0.62235,0.98,16,0.003035,qa\_mockup_canonical\suite-dbt-practice-self-soothe-dark-960x600.png,qa\_captures_v8\suite-dbt-practice-self-soothe-dark-960x600.png,reports\qa\layered_visual_compare_dbt_v2\panels\suite_dbt-practice-self-soothe_dark.png
